Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,OMOP concept_name,domain_id,vocabulary_id,standard_concept,concept_code,concept_id
demguid,record_id,,text,Record ID,,GUID or PseudoGUID,,,,,,,,,,,,,,,,,
imp_me_studyname,impowr_study_adminme,,radio,Which study is the patient participating in?,"1, Project 1/B-STRONG | 2, Project 2/IMPOWR-ME2 | 3, Project 3/Bup Microdosing",,,,,,,,,,,,,,,,,,
imp_bstrong_pop,impowr_study_adminme,,calc,Population: Opioid use disorder and low back pain,"if([imp_me_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bstrong_inter,impowr_study_adminme,,calc,Intervention: Yoga vs Physical Therapy vs Treatment as usual (TAU),"if([imp_me_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bstrong_sd,impowr_study_adminme,,calc,Study Design: 3 Arm RCT; Type I,"if([imp_me_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bstrong_if,impowr_study_adminme,,calc,Implementation Framework: RE-AIM & CFIR,"if([imp_me_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bstrong_econ,impowr_study_adminme,,calc,Economic analysis: Yes,"if([imp_me_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bstrong_moud,impowr_study_adminme,,calc,MOUD: Methadone,"if([imp_me_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bstrong_setting,impowr_study_adminme,,calc,Health Setting: Methadone Clinic,"if([imp_me_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bstrong_sample,impowr_study_adminme,,calc,Sample size: 345,"if([imp_me_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bstrong_followup,impowr_study_adminme,,calc,"Follow-up: 1, 2, 3, 6, 9 months","if([imp_me_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_ime2_pop,impowr_study_adminme,,calc,Population: OUD and nonspecific pain,"if([imp_me_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_ime2_inter,impowr_study_adminme,,calc,Intervention: ACT vs care management vs ACT + care management vs Treatment as usual (TAU),"if([imp_me_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_ime2_sd,impowr_study_adminme,,calc,Study Design: 2x2 Factorial Design; Type I,"if([imp_me_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_ime2_if,impowr_study_adminme,,calc,Implementation Framework: RE-AIM & CFIR,"if([imp_me_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_ime2_econ,impowr_study_adminme,,calc,Economic analysis: yes,"if([imp_me_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_ime2_moud,impowr_study_adminme,,calc,MOUD: Buprenorphine,"if([imp_me_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_ime2_setting,impowr_study_adminme,,calc,Health Setting: Primary Care (FQHCs),"if([imp_me_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_ime2_sample,impowr_study_adminme,,calc,Sample size: 980,"if([imp_me_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_ime2_followup,impowr_study_adminme,,calc,"Follow ups: 0, 1.5, 3, 6, 9 months","if([imp_me_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bup_pop,impowr_study_adminme,,calc,Population: OUD and nonspecific chronic pain,"if([imp_me_studyname] = 3, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bup_inter,impowr_study_adminme,,calc,Intervention: Buprenorphine standard induction vs microdosing,"if([imp_me_studyname] = 3, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bup_sd,impowr_study_adminme,,calc,Study Design: 2 Arm RCT; Type I,"if([imp_me_studyname] = 3, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bup_if,impowr_study_adminme,,calc,Implementation framework: RE-AIM & CFIR,"if([imp_me_studyname] = 3, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bup_econ,impowr_study_adminme,,calc,Economic Analysis: yes,"if([imp_me_studyname] = 3, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bup_moud,impowr_study_adminme,,calc,MOUD: Buprenorphine,"if([imp_me_studyname] = 3, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bup_setting,impowr_study_adminme,,calc,Health Setting: Hospitals,"if([imp_me_studyname] = 3, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bup_sample,impowr_study_adminme,,calc,Sample size: 270,"if([imp_me_studyname] = 3, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_bup_followup,impowr_study_adminme,,calc,"Follow-up: 0, 0.25, 1, 3, 6 months","if([imp_me_studyname] = 3, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_you_studyname,impowr_study_adminyou,,radio,Which study is the patient participating in?,"1, Project 1/Pain CHAMP | 2, Project 2/SC-POWR",,,,,,,,,,,,,,,,,,
imp_champ_pop,impowr_study_adminyou,,calc,Population: OUD/misuse; nonspecific CP,"if([imp_you_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_champ_inter,impowr_study_adminyou,,calc,Intervention: Pharmacist + physician tele-consulting (TCM) vs TCM + CBT (COPES),"if([imp_you_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_champ_sd,impowr_study_adminyou,,calc,Study design: 2 Arm RCT; Type II,"if([imp_you_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_champ_if,impowr_study_adminyou,,calc,Implementation Framework: i-PARIHS,"if([imp_you_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_champ_econ,impowr_study_adminyou,,calc,Economic analysis: Yes,"if([imp_you_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_champ_moud,impowr_study_adminyou,,calc,MOUD: Buprenorphine,"if([imp_you_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_champ_setting,impowr_study_adminyou,,calc,Setting: Primary Care,"if([imp_you_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_champ_sample,impowr_study_adminyou,,calc,Sample size: 1600,"if([imp_you_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_champ_followup,impowr_study_adminyou,,calc,Follow-up: 12 months,"if([imp_you_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_scpowr_pop,impowr_study_adminyou,,calc,Population: OUD; nonspecific CP,"if([imp_you_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_scpowr_inter,impowr_study_adminyou,,calc,Intervention: Multimodal stepped care interdisciplinary (CBT ?? exercise ?? stress mgmt) vs TAU,"if([imp_you_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_scpowr_sd,impowr_study_adminyou,,calc,Study design: Stage II Stepped Care,"if([imp_you_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_scpowr_if,impowr_study_adminyou,,calc,Implementation framework: N/A,"if([imp_you_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_scpowr_econ,impowr_study_adminyou,,calc,"Economic analysisL Yes, as exploratory aim","if([imp_you_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_scpowr_moud,impowr_study_adminyou,,calc,MOUD: Methadone & Buprenorphine,"if([imp_you_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_scpowr_setting,impowr_study_adminyou,,calc,Health Setting: OTP,"if([imp_you_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_scpowr_sample,impowr_study_adminyou,,calc,Study size: 328,"if([imp_you_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_scpowr_follow,impowr_study_adminyou,,calc,"Follow-up: 6, 9, 12 months","if([imp_you_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_tree_studyname,impowr_study_admintreetop,,radio,Which study is the patient participating in?,"1, Project 1/TREETOP Engagement | 2, Project 2/TREETOP Retention",,,,,,,,,,,,,,,,,,
imp_eng_pop,impowr_study_admintreetop,,calc,Population: OUD; nonspecific CP,"if([imp_tree_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_eng_inter,impowr_study_admintreetop,,calc,Intervention: PSM + MOUD vs Enhanced Treatment as usual,"if([imp_tree_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_eng_sd,impowr_study_admintreetop,,calc,Study design: 2 Arm RCT; Hybrid Type I,"if([imp_tree_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_eng_moud,impowr_study_admintreetop,,calc,MOUD: Buprenorphine/naloxone,"if([imp_tree_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_eng_if,impowr_study_admintreetop,,calc,Implementation framework: Health Equity Implementation Framework,"if([imp_tree_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_eng_econ,impowr_study_admintreetop,,calc,Economic analysis: yes,"if([imp_tree_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_eng_setting,impowr_study_admintreetop,,calc,Health setting: primary care,"if([imp_tree_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_eng_sample,impowr_study_admintreetop,,calc,Sample size: 378,"if([imp_tree_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_eng_followup,impowr_study_admintreetop,,calc,"Follow-up: 0, 1, 2, 3, 6, 12 months","if([imp_tree_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_ret_pop,impowr_study_admintreetop,,calc,Population: OUD; nonspecific CP,"if([imp_tree_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_ret_inter,impowr_study_admintreetop,,calc,Intervention: PSM vs Flexible bup vs PSM + Flexible bup vs TAU,"if([imp_tree_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_ret_sd,impowr_study_admintreetop,,calc,Study design: 2x2 Factorial Design; Hybrid Type I,"if([imp_tree_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_ret_moud,impowr_study_admintreetop,,calc,MOUD: Buprenorphine/naloxone,"if([imp_tree_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_ret_if,impowr_study_admintreetop,,calc,Implementation framework: Health Equity Implementation Framework,"if([imp_tree_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_ret_econ,impowr_study_admintreetop,,calc,Economic analysis: yes,"if([imp_tree_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_ret_setting,impowr_study_admintreetop,,calc,Setting: office-based opioid treatment programs (OBOTs),"if([imp_tree_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_ret_sample,impowr_study_admintreetop,,calc,Sample size: 458,"if([imp_tree_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_ret_followup,impowr_study_admintreetop,,calc,"Follow-up: 0, 1, 2, 3, 6, 9, 12 months","if([imp_tree_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_nm_studyname,impowr_study_admin_nm,,radio,Which study is the patient participating in?,"1, Project 1/HOPE | 2, Project 2/OPTIC",,,,,,,,,,,,,,,,,,
imp_hope_pop,impowr_study_admin_nm,,calc,Population: Opioid use disorder and nonspecific chronic pain,"if([imp_nm_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_hope_inter,impowr_study_admin_nm,,calc,Intervention: Yoga vs Physical Therapy vs Treatment as usual (TAU),"if([imp_nm_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_hope_sd,impowr_study_admin_nm,,calc,Study Design: Type I,"if([imp_nm_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_hope_if,impowr_study_admin_nm,,calc,Implementation Framework:CFIR,"if([imp_nm_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
